Date,Year,Month,Value
185401,1854,Jan,-1.17
185402,1854,Feb,-0.95
185403,1854,Mar,-0.75
185404,1854,Apr,-0.52
185405,1854,May,-0.52
185406,1854,Jun,-0.92
185407,1854,Jul,-1.35
185408,1854,Aug,-1.52
185409,1854,Sep,-0.91
185410,1854,Oct,-1.25
185411,1854,Nov,-0.63
185412,1854,Dec,-0.69
185501,1855,Jan,0.33
185502,1855,Feb,0.44
185503,1855,Mar,0.08
185504,1855,Apr,-1.08
185505,1855,May,-2.05
185506,1855,Jun,-1.74
185507,1855,Jul,-1.8
185508,1855,Aug,-1.41
185509,1855,Sep,-0.93
185510,1855,Oct,-0.58
185511,1855,Nov,-0.21
185512,1855,Dec,0.2
185601,1856,Jan,0.07
185602,1856,Feb,0.34
185603,1856,Mar,-0.46
185604,1856,Apr,-0.89
185605,1856,May,-0.92
185606,1856,Jun,-0.7
185607,1856,Jul,-0.25
185608,1856,Aug,0.06
185609,1856,Sep,-0.83
185610,1856,Oct,-0.27
185611,1856,Nov,-0.13
185612,1856,Dec,-0.46
185701,1857,Jan,-0.91
185702,1857,Feb,-0.63
185703,1857,Mar,-0.47
185704,1857,Apr,-0.25
185705,1857,May,0.24
185706,1857,Jun,0.8
185707,1857,Jul,0.75
185708,1857,Aug,0.51
185709,1857,Sep,-0.06
185710,1857,Oct,-0.24
185711,1857,Nov,-0.27
185712,1857,Dec,-0.89
185801,1858,Jan,-1.46
185802,1858,Feb,-0.63
185803,1858,Mar,-0.82
185804,1858,Apr,-0.21
185805,1858,May,-0.03
185806,1858,Jun,0.51
185807,1858,Jul,-0.1
185808,1858,Aug,-0.11
185809,1858,Sep,-0.1
185810,1858,Oct,-0.19
185811,1858,Nov,0.75
185812,1858,Dec,0.57
185901,1859,Jan,0.72
185902,1859,Feb,-0.64
185903,1859,Mar,-0.94
185904,1859,Apr,-1.43
185905,1859,May,-1.29
185906,1859,Jun,-1.25
185907,1859,Jul,-0.43
185908,1859,Aug,-1.64
185909,1859,Sep,-1.76
185910,1859,Oct,-1
185911,1859,Nov,-0.04
185912,1859,Dec,-0.85
186001,1860,Jan,-1.13
186002,1860,Feb,-1.07
186003,1860,Mar,-1
186004,1860,Apr,-0.7
186005,1860,May,-0.44
186006,1860,Jun,0.56
186007,1860,Jul,0.55
186008,1860,Aug,0.12
186009,1860,Sep,3.07
186010,1860,Oct,0.57
186011,1860,Nov,-0.06
186012,1860,Dec,-0.76
186101,1861,Jan,-0.93
186102,1861,Feb,-1.17
186103,1861,Mar,-1.21
186104,1861,Apr,-1.1
186105,1861,May,-0.82
186106,1861,Jun,-0.64
186107,1861,Jul,-0.68
186108,1861,Aug,-0.97
186109,1861,Sep,-1.11
186110,1861,Oct,-1.54
186111,1861,Nov,-0.75
186112,1861,Dec,-0.51
186201,1862,Jan,-0.03
186202,1862,Feb,0.19
186203,1862,Mar,0.31
186204,1862,Apr,0.25
186205,1862,May,0.16
186206,1862,Jun,0.27
186207,1862,Jul,0.26
186208,1862,Aug,-0.26
186209,1862,Sep,-0.74
186210,1862,Oct,-0.67
186211,1862,Nov,-0.19
186212,1862,Dec,-0.23
186301,1863,Jan,-0.18
186302,1863,Feb,-0.18
186303,1863,Mar,-0.25
186304,1863,Apr,-0.02
186305,1863,May,0.23
186306,1863,Jun,0.12
186307,1863,Jul,-0.2
186308,1863,Aug,-0.24
186309,1863,Sep,0.12
186310,1863,Oct,0.33
186311,1863,Nov,0.33
186312,1863,Dec,0.06
186401,1864,Jan,-0.02
186402,1864,Feb,-0.12
186403,1864,Mar,-0.4
186404,1864,Apr,-0.38
186405,1864,May,-0.17
186406,1864,Jun,0.07
186407,1864,Jul,-0.18
186408,1864,Aug,-0.28
186409,1864,Sep,-0.34
186410,1864,Oct,-0.29
186411,1864,Nov,-0.1
186412,1864,Dec,-0.01
186501,1865,Jan,-0.53
186502,1865,Feb,-0.71
186503,1865,Mar,-0.14
186504,1865,Apr,-0.21
186505,1865,May,-0.22
186506,1865,Jun,-0.14
186507,1865,Jul,-0.05
186508,1865,Aug,0.02
186509,1865,Sep,-0.33
186510,1865,Oct,-0.35
186511,1865,Nov,-0.4
186512,1865,Dec,-0.64
186601,1866,Jan,-1.66
186602,1866,Feb,-1.64
186603,1866,Mar,-1.75
186604,1866,Apr,-0.01
186605,1866,May,-0.54
186606,1866,Jun,-0.37
186607,1866,Jul,-0.24
186608,1866,Aug,-0.27
186609,1866,Sep,-0.32
186610,1866,Oct,-0.19
186611,1866,Nov,0.04
186612,1866,Dec,-0.02
186701,1867,Jan,-0.01
186702,1867,Feb,-0.09
186703,1867,Mar,-0.26
186704,1867,Apr,-0.27
186705,1867,May,-0.17
186706,1867,Jun,-0.27
186707,1867,Jul,-0.26
186708,1867,Aug,-0.42
186709,1867,Sep,-0.49
186710,1867,Oct,-0.51
186711,1867,Nov,-0.38
186712,1867,Dec,-0.35
186801,1868,Jan,-0.22
186802,1868,Feb,-0.23
186803,1868,Mar,-0.23
186804,1868,Apr,-0.31
186805,1868,May,-0.44
186806,1868,Jun,-0.17
186807,1868,Jul,-0.14
186808,1868,Aug,-0.13
186809,1868,Sep,0
186810,1868,Oct,-0.11
186811,1868,Nov,-0.41
186812,1868,Dec,-0.23
186901,1869,Jan,-0.12
186902,1869,Feb,-0.05
186903,1869,Mar,0.28
186904,1869,Apr,0.84
186905,1869,May,2.22
186906,1869,Jun,3.01
186907,1869,Jul,2.4
186908,1869,Aug,0.43
186909,1869,Sep,0.25
186910,1869,Oct,0.43
186911,1869,Nov,-0.06
186912,1869,Dec,0.04
187001,1870,Jan,-0.49
187002,1870,Feb,-0.31
187003,1870,Mar,-0.68
187004,1870,Apr,-0.88
187005,1870,May,-1.16
187006,1870,Jun,-0.7
187007,1870,Jul,0.24
187008,1870,Aug,0.63
187009,1870,Sep,0.02
187010,1870,Oct,-0.56
187011,1870,Nov,-1.78
187012,1870,Dec,-1.21
187101,1871,Jan,-0.98
187102,1871,Feb,-0.41
187103,1871,Mar,-0.13
187104,1871,Apr,0.05
187105,1871,May,0.33
187106,1871,Jun,0.89
187107,1871,Jul,-0.42
187108,1871,Aug,-0.49
187109,1871,Sep,-0.79
187110,1871,Oct,-1.06
187111,1871,Nov,-1.47
187112,1871,Dec,-0.6
187201,1872,Jan,-0.41
187202,1872,Feb,-0.33
187203,1872,Mar,-0.23
187204,1872,Apr,-0.52
187205,1872,May,-0.32
187206,1872,Jun,-0.22
187207,1872,Jul,-0.52
187208,1872,Aug,-0.82
187209,1872,Sep,-0.16
187210,1872,Oct,-0.34
187211,1872,Nov,-1.97
187212,1872,Dec,-2.21
187301,1873,Jan,-2.27
187302,1873,Feb,-1.77
187303,1873,Mar,-1.43
187304,1873,Apr,-0.48
187305,1873,May,-0.5
187306,1873,Jun,-0.4
187307,1873,Jul,-0.49
187308,1873,Aug,-1.24
187309,1873,Sep,-1.5
187310,1873,Oct,-1.11
187311,1873,Nov,-1.04
187312,1873,Dec,-1.02
187401,1874,Jan,-0.75
187402,1874,Feb,-0.38
187403,1874,Mar,-0.47
187404,1874,Apr,-0.5
187405,1874,May,0.21
187406,1874,Jun,-0.05
187407,1874,Jul,-0.2
187408,1874,Aug,-0.34
187409,1874,Sep,0.22
187410,1874,Oct,0.72
187411,1874,Nov,0.85
187412,1874,Dec,-0.42
187501,1875,Jan,-0.84
187502,1875,Feb,-1.35
187503,1875,Mar,-1.48
187504,1875,Apr,-1.6
187505,1875,May,-0.86
187506,1875,Jun,-0.88
187507,1875,Jul,-1.31
187508,1875,Aug,-1.62
187509,1875,Sep,-1.37
187510,1875,Oct,-0.59
187511,1875,Nov,0
187512,1875,Dec,-0.27
187601,1876,Jan,-0.77
187602,1876,Feb,-0.89
187603,1876,Mar,-0.89
187604,1876,Apr,-0.09
187605,1876,May,-1.87
187606,1876,Jun,-0.75
187607,1876,Jul,-1.81
187608,1876,Aug,-2.71
187609,1876,Sep,-1.67
187610,1876,Oct,-0.67
187611,1876,Nov,-0.58
187612,1876,Dec,-1.15
187701,1877,Jan,-0.73
187702,1877,Feb,-0.14
187703,1877,Mar,0.68
187704,1877,Apr,-0.65
187705,1877,May,-0.55
187706,1877,Jun,-1.11
187707,1877,Jul,-0.95
187708,1877,Aug,-1.08
187709,1877,Sep,-1.3
187710,1877,Oct,-1.46
187711,1877,Nov,-3.02
187712,1877,Dec,0.2
187801,1878,Jan,-0.59
187802,1878,Feb,-0.34
187803,1878,Mar,0.19
187804,1878,Apr,1.36
187805,1878,May,1.39
187806,1878,Jun,2.84
187807,1878,Jul,1.69
187808,1878,Aug,0.48
187809,1878,Sep,-0.83
187810,1878,Oct,-0.31
187811,1878,Nov,0.77
187812,1878,Dec,1.16
187901,1879,Jan,-0.67
187902,1879,Feb,0.14
187903,1879,Mar,0.34
187904,1879,Apr,1.01
187905,1879,May,-1.12
187906,1879,Jun,-1.25
187907,1879,Jul,-2.15
187908,1879,Aug,-0.46
187909,1879,Sep,-0.78
187910,1879,Oct,-1.27
187911,1879,Nov,-1.02
187912,1879,Dec,-0.67
188001,1880,Jan,-0.82
188002,1880,Feb,-1.13
188003,1880,Mar,-2.01
188004,1880,Apr,-3.23
188005,1880,May,-3.16
188006,1880,Jun,-2.99
188007,1880,Jul,-2.78
188008,1880,Aug,-2.54
188009,1880,Sep,-2.14
188010,1880,Oct,-1.18
188011,1880,Nov,-1.52
188012,1880,Dec,0.68
188101,1881,Jan,0.27
188102,1881,Feb,-1
188103,1881,Mar,-0.36
188104,1881,Apr,0.56
188105,1881,May,0.29
188106,1881,Jun,0.08
188107,1881,Jul,-1.31
188108,1881,Aug,-2.01
188109,1881,Sep,0.46
188110,1881,Oct,0.58
188111,1881,Nov,-0.05
188112,1881,Dec,-0.64
188201,1882,Jan,-2.71
188202,1882,Feb,-1.98
188203,1882,Mar,-2.61
188204,1882,Apr,-2.92
188205,1882,May,-2.51
188206,1882,Jun,-1.1
188207,1882,Jul,-2.5
188208,1882,Aug,-0.84
188209,1882,Sep,-0.78
188210,1882,Oct,-1.68
188211,1882,Nov,-1.88
188212,1882,Dec,-0.72
188301,1883,Jan,-1.48
188302,1883,Feb,-1.57
188303,1883,Mar,-1.51
188304,1883,Apr,-0.49
188305,1883,May,-0.51
188306,1883,Jun,-0.87
188307,1883,Jul,-1.75
